Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA ILX,2.4,4.0,AMS-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV02.4KH3,small car,3,24,34,28,6,No,316
ACURA ILX,2.4,4.0,AMS-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV02.4KH3,small car,3,24,34,28,6,No,316
ACURA MDX,3.0,6.0,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.0AH3,small SUV,3,26,27,27,6,No,330
ACURA MDX,3.0,6.0,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.0AH3,small SUV,3,26,27,27,6,No,330
ACURA MDX,3.5,6.0,SemiAuto-9,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5PH3,small SUV,3,20,27,23,5,No,387
ACURA MDX,3.5,6.0,SemiAuto-9,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5PH3,small SUV,3,20,27,23,5,No,387
ACURA MDX,3.5,6.0,SemiAuto-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5PH3,small SUV,3,19,26,22,4,No,404
ACURA MDX,3.5,6.0,SemiAuto-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5PH3,small SUV,3,19,26,22,4,No,404
ACURA MDX A-spec,3.5,6.0,SemiAuto-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5PH3,small SUV,3,19,25,21,4,No,415
ACURA MDX A-spec,3.5,6.0,SemiAuto-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5PH3,small SUV,3,19,25,21,4,No,415
ACURA NSX,3.5,6.0,AMS-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5EH4,small car,3,21,22,21,4,No,420
ACURA NSX,3.5,6.0,AMS-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5EH4,small car,3,21,22,21,4,No,420
ACURA RDX,2.0,4.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KHNXT02.0823,small SUV,6,22,28,24,5,No,370
ACURA RDX,2.0,4.0,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KHNXT02.0823,small SUV,6,22,28,24,5,No,370
ACURA RDX,2.0,4.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KHNXT02.0823,small SUV,6,21,27,23,5,No,385
ACURA RDX,2.0,4.0,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KHNXT02.0823,small SUV,6,21,27,23,5,No,385
ACURA RDX A-SPEC,2.0,4.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KHNXT02.0923,small SUV,6,22,27,24,5,No,374
ACURA RDX A-SPEC,2.0,4.0,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KHNXT02.0923,small SUV,6,22,27,24,5,No,374
ACURA RDX A-SPEC,2.0,4.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KHNXT02.0923,small SUV,6,21,26,23,5,No,385
ACURA RDX A-SPEC,2.0,4.0,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KHNXT02.0923,small SUV,6,21,26,23,5,No,385
ACURA RLX,3.5,6.0,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KHNXV03.5FL3,midsize car,7,28,29,28,6,No,316
ACURA RLX,3.5,6.0,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KHNXV03.5FL3,midsize car,7,28,29,28,6,No,316
ACURA RLX,3.5,6.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5MH4,midsize car,3,20,29,23,5,No,383
ACURA RLX,3.5,6.0,SemiAuto-10,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5MH4,midsize car,3,20,29,23,5,No,383
ACURA TLX,2.4,4.0,AMS-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV02.4VH3,small car,3,23,33,27,6,No,330
ACURA TLX,2.4,4.0,AMS-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV02.4VH3,small car,3,23,33,27,6,No,330
ACURA TLX,3.5,6.0,SemiAuto-9,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5HH3,small car,3,20,31,24,5,No,376
ACURA TLX,3.5,6.0,SemiAuto-9,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5HH3,small car,3,20,31,24,5,No,376
ACURA TLX,3.5,6.0,SemiAuto-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5HH3,small car,3,20,29,23,5,No,379
ACURA TLX,3.5,6.0,SemiAuto-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5HH3,small car,3,20,29,23,5,No,379
ACURA TLX AWD A-SPEC,3.5,6.0,SemiAuto-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5HH3,small car,3,20,29,23,5,No,387
ACURA TLX AWD A-SPEC,3.5,6.0,SemiAuto-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5HH3,small car,3,20,29,23,5,No,387
ACURA TLX FWD A-SPEC,2.4,4.0,AMS-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV02.4VH3,small car,3,23,32,26,5,No,336
ACURA TLX FWD A-SPEC,2.4,4.0,AMS-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV02.4VH3,small car,3,23,32,26,5,No,336
ACURA TLX FWD A-SPEC,3.5,6.0,SemiAuto-9,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5HH3,small car,3,20,30,23,5,No,381
ACURA TLX FWD A-SPEC,3.5,6.0,SemiAuto-9,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5HH3,small car,3,20,30,23,5,No,381
ALFA ROMEO 4C,1.8,4.0,AutoMan-6,2WD,Gasoline,CA,L2,California LEV-II LEV,KCRXV01.85P0,small car,1,24,34,28,6,No,317
ALFA ROMEO 4C,1.8,4.0,AutoMan-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KCRXV01.85P0,small car,1,24,34,28,6,No,317
ALFA ROMEO Giulia,2.0,4.0,Auto-8,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,KCRXJ02.05P2,midsize car,3,24,33,27,6,No,330
ALFA ROMEO Giulia,2.9,6.0,Auto-8,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,KCRXJ02.95P0,midsize car,3,17,24,20,4,No,451
ALFA ROMEO Giulia,2.9,6.0,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KCRXJ02.95P0,midsize car,3,17,24,20,4,No,451
ALFA ROMEO Giulia,2.9,6.0,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KCRXJ02.95P0,midsize car,3,17,24,20,4,No,451
ALFA ROMEO Giulia AWD,2.0,4.0,Auto-8,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,KCRXJ02.05P2,midsize car,3,23,31,26,5,No,348
ALFA ROMEO Stelvio,2.0,4.0,Auto-8,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,KCRXJ02.05P2,small SUV,3,22,29,25,5,No,359
ALFA ROMEO Stelvio AWD,2.0,4.0,Auto-8,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,KCRXJ02.05P2,small SUV,3,22,28,24,5,No,364
ALFA ROMEO Stelvio AWD,2.9,6.0,Auto-8,4WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,KCRXJ02.95P0,small SUV,3,17,23,19,3,No,470
ALFA ROMEO Stelvio AWD,2.9,6.0,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KCRXJ02.95P0,small SUV,3,17,23,19,3,No,470
ALFA ROMEO Stelvio AWD,2.9,6.0,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KCRXJ02.95P0,small SUV,3,17,23,19,3,No,470
ASTON MARTIN DB11,4.0,8.0,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KASXV04.0AES,small car,3,18,24,20,4,No,431
ASTON MARTIN DB11,4.0,8.0,SemiAuto-8,2WD,Gasoline,CA,U2,California LEV-II ULEV,KASXV04.0AES,small car,3,18,24,20,4,No,431
ASTON MARTIN DB11,5.2,12.0,SemiAuto-8,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,KASXV05.2AM5,small car,3,15,22,18,3,No,497
ASTON MARTIN DB11,5.2,12.0,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KASXV05.2AM5,small car,3,15,22,18,3,No,497
ASTON MARTIN DBS,5.2,12.0,SemiAuto-8,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,KASXV05.2AM5,small car,3,14,22,17,3,No,522
ASTON MARTIN DBS,5.2,12.0,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KASXV05.2AM5,small car,3,14,22,17,3,No,522
ASTON MARTIN Rapide S,6.0,12.0,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KASXV06.0VHB,small car,3,14,21,17,3,No,533
ASTON MARTIN Rapide S,6.0,12.0,SemiAuto-8,2WD,Gasoline,CA,U2,California LEV-II ULEV,KASXV06.0VHB,small car,3,14,21,17,3,No,533
ASTON MARTIN Vanquish S,6.0,12.0,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KASXV06.0VHB,small car,3,13,21,16,2,No,555
ASTON MARTIN Vanquish S,6.0,12.0,SemiAuto-8,2WD,Gasoline,CA,U2,California LEV-II ULEV,KASXV06.0VHB,small car,3,13,21,16,2,No,555
AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KVGAJ02.0A3A,small car,7,26,35,29,6,No,303
AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KVGAJ02.0A3A,small car,7,26,35,29,6,No,303
AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KVGAJ02.0A3A,small car,7,22,30,25,5,No,362
AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KVGAJ02.0A3A,small car,7,22,30,25,5,No,362
AUDI A3 Cabriolet,2.0,4.0,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KVGAJ02.0A3A,small car,7,26,35,29,6,No,303
AUDI A3 Cabriolet,2.0,4.0,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KVGAJ02.0A3A,small car,7,26,35,29,6,No,303
AUDI A3 Cabriolet,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KVGAJ02.0A3A,small car,7,22,30,25,5,No,355
AUDI A3 Cabriolet,2.0,4.0,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KVGAJ02.0A3A,small car,7,22,30,25,5,No,355
AUDI A4,2.0,4.0,AMS-7,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAV02.0A7C,small car,5,27,34,30,7,Yes,292
AUDI A4,2.0,4.0,AMS-7,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAV02.0A7C,small car,5,27,34,30,7,Yes,292
AUDI A4,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAV02.0A7C,small car,5,23,34,27,6,No,328
AUDI A4,2.0,4.0,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAV02.0A7C,small car,5,23,34,27,6,No,328
AUDI A4 allroad quattro,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAV02.0A7C,station wagon,5,22,29,25,5,No,356
AUDI A4 allroad quattro,2.0,4.0,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAV02.0A7C,station wagon,5,22,29,25,5,No,356
AUDI A5,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAV02.0A7C,small car,5,23,34,27,6,No,328
AUDI A5,2.0,4.0,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAV02.0A7C,small car,5,23,34,27,6,No,328
AUDI A5 Cabriolet,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAV02.0A7C,small car,5,23,34,27,6,No,328
AUDI A5 Cabriolet,2.0,4.0,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAV02.0A7C,small car,5,23,34,27,6,No,328
AUDI A5 Sportback quattro,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAV02.0A7C,midsize car,5,23,34,27,6,No,328
AUDI A5 Sportback quattro,2.0,4.0,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAV02.0A7C,midsize car,5,23,34,27,6,No,328
AUDI A6,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAV02.0A7M,midsize car,5,24,32,27,6,No,329
AUDI A6,2.0,4.0,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAV02.0A7M,midsize car,5,24,32,27,6,No,329
AUDI A6,3.0,6.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAV03.0N7N,midsize car,5,22,29,25,5,No,360
AUDI A6,3.0,6.0,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAV03.0N7N,midsize car,5,22,29,25,5,No,360
AUDI A7,3.0,6.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAV03.0N7N,midsize car,5,22,29,25,5,No,360
AUDI A7,3.0,6.0,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAV03.0N7N,midsize car,5,22,29,25,5,No,360
AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KVGAJ03.0NAM,large car,3,19,27,22,4,No,405
AUDI A8 L,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KVGAJ03.0NAM,large car,3,19,27,22,4,No,405
AUDI Q3,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KVGAJ02.0A3A,small car,7,19,27,22,4,No,399
AUDI Q3,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KVGAJ02.0A3A,small car,7,19,27,22,4,No,399
AUDI Q5,2.0,4.0,SemiAuto-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KVGAJ02.0AAC,small SUV,3,22,27,24,5,No,372
AUDI Q5,2.0,4.0,SemiAuto-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KVGAJ02.0AAC,small SUV,3,22,27,24,5,No,372
AUDI Q7,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KVGAJ02.0AAC,standard SUV,3,19,25,21,4,No,415
AUDI Q7,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KVGAJ02.0AAC,standard SUV,3,19,25,21,4,No,415
AUDI Q7,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KVGAT03.0AUE,standard SUV,3,19,25,21,4,No,419
AUDI Q7,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,KVGAT03.0AUE,standard SUV,3,19,25,21,4,No,419
AUDI Q8,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KVGAJ03.0NAM,standard SUV,3,17,22,19,3,No,474
AUDI Q8,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KVGAJ03.0NAM,standard SUV,3,17,22,19,3,No,474
AUDI RS 3,2.5,5.0,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KVGAV02.5NAG,small car,3,19,28,22,4,No,397
AUDI RS 3,2.5,5.0,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KVGAV02.5NAG,small car,3,19,28,22,4,No,397
AUDI RS 5,2.9,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAJ03.0N7F,small car,5,18,27,21,4,No,422
AUDI RS 5,2.9,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAJ03.0N7F,small car,5,18,27,21,4,No,422
AUDI RS 5 Sportback,2.9,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAJ03.0N7F,midsize car,5,17,26,20,4,No,431
AUDI RS 5 Sportback,2.9,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAJ03.0N7F,midsize car,5,17,26,20,4,No,431
AUDI S3,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KVGAV02.0AAB,small car,3,22,29,25,5,No,358
AUDI S3,2.0,4.0,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KVGAV02.0AAB,small car,3,22,29,25,5,No,358
AUDI S4,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAJ03.0N7F,small car,5,21,30,24,5,No,371
AUDI S4,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAJ03.0N7F,small car,5,21,30,24,5,No,371
AUDI S5,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAJ03.0N7F,small car,5,21,30,24,5,No,371
AUDI S5,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAJ03.0N7F,small car,5,21,30,24,5,No,371
AUDI S5 Cabriolet,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAJ03.0N7F,small car,5,21,29,24,5,No,377
AUDI S5 Cabriolet,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAJ03.0N7F,small car,5,21,29,24,5,No,377
AUDI S5 Sportback,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAJ03.0N7F,midsize car,5,21,30,24,5,No,371
AUDI S5 Sportback,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAJ03.0N7F,midsize car,5,21,30,24,5,No,371
AUDI SQ5,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KVGAJ03.0N7F,small SUV,5,19,24,21,4,No,434
AUDI SQ5,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KVGAJ03.0N7F,small SUV,5,19,24,21,4,No,434
AUDI TT Coupe,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KVGAJ02.0A3A,small car,7,23,31,26,5,No,340
AUDI TT Coupe,2.0,4.0,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KVGAJ02.0A3A,small car,7,23,31,26,5,No,340
AUDI TT RS,2.5,5.0,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KVGAV02.5NAG,small car,3,20,28,23,5,No,388
AUDI TT RS,2.5,5.0,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KVGAV02.5NAG,small car,3,20,28,23,5,No,388
AUDI TT Roadster,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KVGAJ02.0A3A,small car,7,23,31,26,5,No,340
AUDI TT Roadster,2.0,4.0,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KVGAJ02.0A3A,small car,7,23,31,26,5,No,340
AUDI TTS Coupe,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KVGAV02.0AAB,small car,3,23,29,25,5,No,354
AUDI TTS Coupe,2.0,4.0,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KVGAV02.0AAB,small car,3,23,29,25,5,No,354
AUDI e-tron,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KVGAT00.0AZE,standard SUV,10,74,73,74,10,Elite,0
AUDI e-tron,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,KVGAT00.0AZE,standard SUV,10,74,73,74,10,Elite,0
BENTLEY Bentayga,4.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KVGAT04.0PAA,standard SUV,3,14,23,17,3,No,508
BENTLEY Bentayga,4.0,8.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KVGAT04.0PAA,standard SUV,3,14,23,17,3,No,508
BENTLEY Chiron,8.0,16.0,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KVGAV08.0GLB,small car,1,9,14,11,1,No,840
BENTLEY Chiron,8.0,16.0,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KVGAV08.0GLB,small car,1,9,14,11,1,No,840
BENTLEY Mulsanne,6.8,8.0,SemiAuto-8,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KVGAV06.8EDP,midsize car,1,10,16,12,1,No,749
BENTLEY Mulsanne,6.8,8.0,SemiAuto-8,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KVGAV06.8EDP,midsize car,1,10,16,12,1,No,749
BMW 230i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXJ02.0B4X,small car,7,23,33,27,6,No,333
BMW 230i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXJ02.0B4X,small car,7,23,33,27,6,No,333
BMW 230i Coupe,2.0,4.0,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXJ02.0B4X,small car,7,21,32,25,5,No,356
BMW 230i Coupe,2.0,4.0,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXJ02.0B4X,small car,7,21,32,25,5,No,356
BMW 230i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXJ02.0B4X,small car,7,24,35,28,6,No,318
BMW 230i Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXJ02.0B4X,small car,7,24,35,28,6,No,318
BMW 230i xDrive Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXJ02.0B4X,small car,7,23,33,27,6,No,331
BMW 230i xDrive Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXJ02.0B4X,small car,7,23,33,27,6,No,331
BMW 230i xDrive Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXJ02.0B4X,small car,7,24,33,27,6,No,326
BMW 230i xDrive Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXJ02.0B4X,small car,7,24,33,27,6,No,326
BMW 330i,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXJ02.0B4X,small car,7,26,36,30,7,Yes,299
BMW 330i,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXJ02.0B4X,small car,7,26,36,30,7,Yes,299
BMW 330i,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXJ02.0B4X,small car,7,25,34,28,6,No,313
BMW 330i,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXJ02.0B4X,small car,7,25,34,28,6,No,313
BMW 330i Gran Turismo,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXJ02.0B4X,large car,7,23,33,27,6,No,331
BMW 330i Gran Turismo,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXJ02.0B4X,large car,7,23,33,27,6,No,331
BMW 330i Sports Wagon,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXJ02.0B4X,station wagon,7,23,33,27,6,No,331
BMW 330i Sports Wagon,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXJ02.0B4X,station wagon,7,23,33,27,6,No,331
BMW 340i Gran Turismo,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KBMXV03.0B58,large car,3,20,29,23,5,No,383
BMW 340i Gran Turismo,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KBMXV03.0B58,large car,3,20,29,23,5,No,383
BMW 430i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXJ02.0B4X,small car,7,24,34,27,6,No,324
BMW 430i Convertible,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXJ02.0B4X,small car,7,24,34,27,6,No,324
BMW 430i Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXJ02.0B4X,small car,7,22,32,26,5,No,344
BMW 430i Convertible,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXJ02.0B4X,small car,7,22,32,26,5,No,344
BMW 430i Coupe,2.0,4.0,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXJ02.0B4X,small car,7,21,33,25,5,No,351
