Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
KIA Rio,1.6,4.0,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KKMXV01.6AA6,small car,3,29,37,32,7,Yes,278
KIA Rio,1.6,4.0,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXV01.6AA6,small car,3,29,37,32,7,Yes,278
KIA Rio,1.6,4.0,SemiAuto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KKMXV01.6AA6,small car,3,28,37,32,7,Yes,280
KIA Rio,1.6,4.0,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXV01.6AA6,small car,3,28,37,32,7,Yes,280
KIA Sedona,3.3,6.0,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXT03.3KJ5,minivan,5,18,24,21,4,No,437
KIA Sedona,3.3,6.0,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXT03.3KJ5,minivan,5,18,24,21,4,No,437
KIA Sorento,2.4,4.0,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXV02.4JH5,small SUV,5,22,29,25,5,No,363
KIA Sorento,2.4,4.0,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXV02.4JH5,small SUV,5,22,29,25,5,No,363
KIA Sorento,2.4,4.0,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXV02.4JH5,small SUV,5,21,26,23,5,No,389
KIA Sorento,2.4,4.0,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXV02.4JH5,small SUV,5,21,26,23,5,No,389
KIA Sorento,3.3,6.0,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXV03.3JJ5,small SUV,5,19,26,22,4,No,416
KIA Sorento,3.3,6.0,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXV03.3JJ5,small SUV,5,19,26,22,4,No,416
KIA Sorento,3.3,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXV03.3JJ5,small SUV,5,19,24,21,4,No,428
KIA Sorento,3.3,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXV03.3JJ5,small SUV,5,19,24,21,4,No,428
KIA Soul,1.6,4.0,AutoMan-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXV01.6BCF,station wagon,3,26,31,28,6,No,320
KIA Soul,1.6,4.0,AutoMan-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,KKMXV01.6BCF,station wagon,3,26,31,28,6,No,320
KIA Soul,1.6,4.0,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KKMXV01.6BA6,station wagon,3,24,30,27,6,No,335
KIA Soul,1.6,4.0,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXV01.6BA6,station wagon,3,24,30,27,6,No,335
KIA Soul,1.6,4.0,SemiAuto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KKMXV01.6BA6,station wagon,3,26,31,28,6,No,319
KIA Soul,1.6,4.0,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXV01.6BA6,station wagon,3,26,31,28,6,No,319
KIA Soul,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KKMXV02.0BF3,station wagon,7,25,30,27,6,No,334
KIA Soul,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KKMXV02.0BF3,station wagon,7,25,30,27,6,No,334
KIA Soul,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXV02.0BF5,station wagon,5,25,30,27,6,No,334
KIA Soul,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXV02.0BF5,station wagon,5,25,30,27,6,No,334
KIA Soul Electric,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,KKMXV00.0B31,station wagon,10,124,93,108,10,Elite,0
KIA Soul Electric,,,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,KKMXV00.0B31,station wagon,10,124,93,108,10,Elite,0
KIA Sportage,2.0,4.0,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXT02.0HGF,small SUV,3,21,26,23,5,No,392
KIA Sportage,2.0,4.0,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,KKMXT02.0HGF,small SUV,3,21,26,23,5,No,392
KIA Sportage,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXT02.0HGF,small SUV,3,20,23,21,4,No,424
KIA Sportage,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,KKMXT02.0HGF,small SUV,3,20,23,21,4,No,424
KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KKMXT02.4HH3,small SUV,7,22,29,25,5,No,358
KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KKMXT02.4HH3,small SUV,7,22,29,25,5,No,358
KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXT02.4HH5,small SUV,5,22,29,25,5,No,358
KIA Sportage,2.4,4.0,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXT02.4HH5,small SUV,5,22,29,25,5,No,358
KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KKMXT02.4HH3,small SUV,7,21,25,23,5,No,397
KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KKMXT02.4HH3,small SUV,7,21,25,23,5,No,397
KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXT02.4HH5,small SUV,5,21,25,23,5,No,397
KIA Sportage,2.4,4.0,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXT02.4HH5,small SUV,5,21,25,23,5,No,397
KIA Sportage FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KKMXT02.4HH3,small SUV,7,23,30,25,5,No,353
KIA Sportage FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KKMXT02.4HH3,small SUV,7,23,30,25,5,No,353
KIA Sportage FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXT02.4HH5,small SUV,5,23,30,25,5,No,353
KIA Sportage FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXT02.4HH5,small SUV,5,23,30,25,5,No,353
KIA Sportage FE,2.4,4.0,SemiAuto-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KKMXT02.4HH3,small SUV,7,21,25,22,4,No,400
KIA Sportage FE,2.4,4.0,SemiAuto-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KKMXT02.4HH3,small SUV,7,21,25,22,4,No,400
KIA Sportage FE,2.4,4.0,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXT02.4HH5,small SUV,5,21,25,22,4,No,400
